"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0997508081691829,0.0499980132868937,0,"ch = 0.25",0.86,0.0346987031457949,0.96,0.0195959179422654
"2","-0.25","-0.09765625",-0.0948305454562624,0.0350826823185046,0,"ch = 0.5",0.84,0.0366606055596467,0.94,0.0237486841740758
"3","-0.25","-0.09765625",-0.0788911911302458,0.0245497788285051,0,"ch = 1",0.71,0.0453762052181537,0.87,0.0336303434416005
"4","-0.25","-0.09765625",-0.0715572813415859,0.0222247557803956,1,"ch = 0.25",0.48,0.0499599839871872,0.71,0.0453762052181537
"5","-0.25","-0.09765625",-0.0687589186707036,0.0146722460890922,1,"ch = 0.5",0.32,0.0466476151587624,0.51,0.0499899989998
"6","-0.25","-0.09765625",-0.0568082530368073,0.00938662582517983,1,"ch = 1",0.07,0.0255147016443462,0.13,0.0336303434416005
"7","0","0",-0.00114505376152458,0.0299281300030618,0,"ch = 0.25",0.78,0.041424630354416,0.97,0.017058722109232
"8","0","0",0.00452432112135741,0.0233121313869358,0,"ch = 0.5",0.82,0.0384187454245971,0.98,0.014
"9","0","0",0.0263439253061912,0.0221091924878284,0,"ch = 1",0.48,0.0499599839871872,0.78,0.041424630354416
"10","0","0",0.00650494253121032,0.0116017662486736,1,"ch = 0.25",0.5,0.05,0.73,0.0443959457608462
"11","0","0",0.0107233567446692,0.010015735750993,1,"ch = 0.5",0.29,0.0453762052181537,0.59,0.0491833305094318
"12","0","0",0.0268567425748624,0.0110721557176499,1,"ch = 1",0.25,0.0433012701892219,0.35,0.0476969600708473
"13","0.25","0.31640625",0.34606151301513,0.142765509771222,0,"ch = 0.25",0.95,0.0217944947177034,0.98,0.014
"14","0.25","0.31640625",0.335130146276695,0.103891789140884,0,"ch = 0.5",0.96,0.0195959179422654,0.98,0.014
"15","0.25","0.31640625",0.302975802327169,0.0647154420175948,0,"ch = 1",0.88,0.0324961536185438,0.95,0.0217944947177034
"16","0.25","0.31640625",0.272250748917582,0.0890770692375053,1,"ch = 0.25",0.9,0.03,0.96,0.0195959179422654
"17","0.25","0.31640625",0.267292916947565,0.0603947202121013,1,"ch = 0.5",0.75,0.0433012701892219,0.9,0.03
"18","0.25","0.31640625",0.260390857186134,0.0411289612302239,1,"ch = 1",0.47,0.0499099188538711,0.74,0.0438634243989226
