"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0894357854134348,0.0627611014601365,0,"ch = 0.25",0.86,0.0346987031457949,0.95,0.0217944947177034
"2","-0.25","-0.09765625",-0.0900523248158634,0.0452649993371338,0,"ch = 0.5",0.85,0.0357071421427143,0.98,0.014
"3","-0.25","-0.09765625",-0.0744297017111397,0.0321189724892277,0,"ch = 1",0.77,0.0420832508250016,0.93,0.0255147016443461
"4","-0.25","-0.09765625",0.00444411091826423,0.00279827465129549,1,"ch = 0.25",0,0,0,0
"5","-0.25","-0.09765625",0.00465931899400639,0.00215480405180409,1,"ch = 0.5",0,0,0,0
"6","-0.25","-0.09765625",0.00597060050203687,0.00185728929807695,1,"ch = 1",0,0,0,0
"7","0","0",0.00291615757344194,0.0531099082289922,0,"ch = 0.25",0.81,0.0392300904918661,0.96,0.0195959179422654
"8","0","0",0.0152696427760001,0.0417260111733949,0,"ch = 0.5",0.88,0.0324961536185438,0.99,0.0099498743710662
"9","0","0",0.0344167080236943,0.0329280541874035,0,"ch = 1",0.67,0.047021271782035,0.91,0.0286181760425084
"10","0","0",0.0302282022235251,0.0117622206218663,1,"ch = 0.25",0.05,0.0217944947177034,0.16,0.0366606055596467
"11","0","0",0.0320073718418449,0.00859148111004485,1,"ch = 0.5",0.03,0.017058722109232,0.08,0.0271293199325011
"12","0","0",0.0350341970916374,0.00605997554214361,1,"ch = 1",0.04,0.0195959179422654,0.05,0.0217944947177034
"13","0.25","0.31640625",0.324802247877091,0.129707992389754,0,"ch = 0.25",0.88,0.0324961536185438,0.97,0.017058722109232
"14","0.25","0.31640625",0.326554287453307,0.0950698188013979,0,"ch = 0.5",0.91,0.0286181760425084,0.99,0.0099498743710662
"15","0.25","0.31640625",0.319300661916657,0.0737736856156413,0,"ch = 1",0.88,0.0324961536185438,0.97,0.017058722109232
"16","0.25","0.31640625",0.0890806832367309,0.0305222032795839,1,"ch = 0.25",0,0,0.03,0.017058722109232
"17","0.25","0.31640625",0.0941985172533958,0.0223745906501451,1,"ch = 0.5",0,0,0.01,0.0099498743710662
"18","0.25","0.31640625",0.0949719877909251,0.0152689165992314,1,"ch = 1",0,0,0,0
