"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0716543335427714,0.0266501308358739,0,"ch = 0.25",0.56,0.0496386945839634,0.76,0.0427083130081252
"2","-0.25","-0.09765625",-0.070612733098102,0.0187596786699057,0,"ch = 0.5",0.42,0.0493558507170123,0.67,0.047021271782035
"3","-0.25","-0.09765625",-0.0598891028383309,0.0124824355007701,0,"ch = 1",0.08,0.0271293199325011,0.21,0.0407308237088326
"4","-0.25","-0.09765625",-0.0641683565794657,0.0218987500403037,1,"ch = 0.25",0.38,0.0485386443980464,0.58,0.0493558507170123
"5","-0.25","-0.09765625",-0.0625204279130486,0.0149808581728905,1,"ch = 0.5",0.19,0.0392300904918661,0.36,0.048
"6","-0.25","-0.09765625",-0.0539207867505254,0.00989115197533519,1,"ch = 1",0.05,0.0217944947177034,0.1,0.03
"7","0","0",0.00341089517103704,0.0118268004035595,0,"ch = 0.25",0.56,0.0496386945839634,0.78,0.041424630354416
"8","0","0",0.00889021434425093,0.0109128115512116,0,"ch = 0.5",0.54,0.0498397431775085,0.8,0.04
"9","0","0",0.0218423919124553,0.0119944109053572,0,"ch = 1",0.35,0.0476969600708473,0.54,0.0498397431775085
"10","0","0",0.00457651294880298,0.00932844603963432,1,"ch = 0.25",0.5,0.05,0.71,0.0453762052181537
"11","0","0",0.00985670486197749,0.00932699538010983,1,"ch = 0.5",0.41,0.0491833305094318,0.69,0.0462493243193887
"12","0","0",0.02345988487651,0.0105967714476156,1,"ch = 1",0.22,0.041424630354416,0.43,0.0495075751779463
"13","0.25","0.31640625",0.243532400863087,0.0809965369520018,0,"ch = 0.25",0.59,0.0491833305094318,0.84,0.0366606055596467
"14","0.25","0.31640625",0.238595877884981,0.0544776761931874,0,"ch = 0.5",0.41,0.0491833305094318,0.7,0.0458257569495584
"15","0.25","0.31640625",0.222095790440105,0.0362151780507239,0,"ch = 1",0.14,0.0346987031457949,0.34,0.047370877129308
"16","0.25","0.31640625",0.226576058620456,0.0724860624158368,1,"ch = 0.25",0.51,0.0499899989998,0.69,0.0462493243193887
"17","0.25","0.31640625",0.221784790070613,0.04838848489599,1,"ch = 0.5",0.29,0.0453762052181537,0.49,0.0499899989998
"18","0.25","0.31640625",0.206984977605924,0.0316432837371224,1,"ch = 1",0.09,0.0286181760425084,0.14,0.0346987031457949
