"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","25","0",2362.14379107353,672.960052320256,0,"ch = 0.25",0,0,0,0
"2","30","0",4816.72918500332,493.817378370355,0,"ch = 0.25",0,0,0,0
"3","35","0",5896.58396599949,682.063185532226,0,"ch = 0.25",0,0,0,0
"4","40","0",5955.26127040028,873.795172953852,0,"ch = 0.25",0,0,0,0
"5","45","0",8741.96028808419,1438.26719667056,0,"ch = 0.25",0,0,0,0
"6","50","0",8016.24942009952,1285.61392989704,0,"ch = 0.25",0,0,0,0
"7","55","0",9452.95486782413,1875.7535599843,0,"ch = 0.25",0,0,0,0
"8","60","0",7396.58032756008,1938.78172683544,0,"ch = 0.25",0,0,0,0
"9","65","0",4726.67883464481,5824.7590334227,0,"ch = 0.25",1,0,1,0
