"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","25","0",1367.44756769445,664.491303306829,0,"ch = 0.25",0,0,0,0
"2","30","0",3694.48645624641,454.751970047519,0,"ch = 0.25",0,0,0,0
"3","35","0",5189.43027528189,675.270470908667,0,"ch = 0.25",0,0,0,0
"4","40","0",5609.34998246968,893.820930547862,0,"ch = 0.25",0,0,0,0
"5","45","0",9301.54704904642,1461.14789342098,0,"ch = 0.25",0,0,0,0
"6","50","0",9610.97091152678,1390.43866564091,0,"ch = 0.25",0,0,0,0
"7","55","0",10090.0236759563,1930.04241300566,0,"ch = 0.25",0,0,0,0
"8","60","0",8793.79399587818,2029.54153972927,0,"ch = 0.25",0,0,0,0
"9","65","0",6444.69531214572,5917.62041062939,0,"ch = 0.25",1,0,1,0
