"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.102240516695604,0.0906012828793486,0,"ch = 0.25",0.95,0.0217944947177034,1,0
"2","-0.25","-0.09765625",-0.0805715775447446,0.0644538613037556,0,"ch = 0.5",0.93,0.0255147016443461,1,0
"3","-0.25","-0.09765625",-0.0616613260259314,0.0445150686561209,0,"ch = 1",0.81,0.0392300904918661,0.97,0.017058722109232
"4","-0.25","-0.09765625",0.0238363612352342,0.00908601690039237,1,"ch = 0.25",0,0,0,0
"5","-0.25","-0.09765625",0.0221320271074964,0.00570401064012245,1,"ch = 0.5",0,0,0,0
"6","-0.25","-0.09765625",0.0228704949601816,0.00402899564308633,1,"ch = 1",0,0,0,0
"7","0","0",0.0280724332516315,0.0812645722124582,0,"ch = 0.25",0.88,0.0324961536185438,0.97,0.017058722109232
"8","0","0",0.0339106390840036,0.060454765791931,0,"ch = 0.5",0.87,0.0336303434416005,0.98,0.014
"9","0","0",0.0462323840394363,0.0432354858723711,0,"ch = 1",0.64,0.048,0.98,0.014
"10","0","0",0.0406359583974794,0.013718780837881,1,"ch = 0.25",0.03,0.017058722109232,0.13,0.0336303434416005
"11","0","0",0.040843807252261,0.00946701196363413,1,"ch = 0.5",0,0,0.02,0.014
"12","0","0",0.0401182029371842,0.00601158378648623,1,"ch = 1",0,0,0,0
"13","0.25","0.31640625",0.350307200448234,0.137983951551897,0,"ch = 0.25",0.95,0.0217944947177034,0.98,0.014
"14","0.25","0.31640625",0.362759310869673,0.10611209339947,0,"ch = 0.5",0.91,0.0286181760425084,0.98,0.014
"15","0.25","0.31640625",0.348904313109533,0.077840060184789,0,"ch = 1",0.88,0.0324961536185438,0.98,0.014
"16","0.25","0.31640625",0.0558097012928714,0.0184834593212822,1,"ch = 0.25",0,0,0.02,0.014
"17","0.25","0.31640625",0.0576977313419631,0.0128631223985936,1,"ch = 0.5",0,0,0,0
"18","0.25","0.31640625",0.0566462983382639,0.00814677848489403,1,"ch = 1",0,0,0,0
