"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","25","0",-177.41591644253,1970.74053616088,0,"ch = 0.25",1,0,1,0
"2","30","0",3246.29181542079,1293.41674361611,0,"ch = 0.25",0,0,0,0
"3","35","0",5653.33176260746,1949.28212186631,0,"ch = 0.25",0,0,0,0
"4","40","0",2019.7231423849,3801.96906144377,0,"ch = 0.25",1,0,1,0
"5","45","0",12008.2128687658,5141.78383701088,0,"ch = 0.25",0,0,0,0
"6","50","0",12984.8112399221,4277.41426734607,0,"ch = 0.25",0,0,0,0
"7","55","0",12634.8124790662,5073.34322918546,0,"ch = 0.25",0,0,0,0
"8","60","0",10711.0064064414,6158.68004840235,0,"ch = 0.25",0,0,1,0
"9","65","0",2635.23401966198,15607.0692988521,0,"ch = 0.25",1,0,1,0
