"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0863729989638783,0.0394715951538301,0,"ch = 0.25",0.79,0.0407308237088326,0.9,0.03
"2","-0.25","-0.09765625",-0.0847666491329325,0.0284827054278996,0,"ch = 0.5",0.73,0.0443959457608462,0.88,0.0324961536185438
"3","-0.25","-0.09765625",-0.0712465025385633,0.0196423878752049,0,"ch = 1",0.43,0.0495075751779463,0.69,0.0462493243193887
"4","-0.25","-0.09765625",-0.0641683565794657,0.0218987500403037,1,"ch = 0.25",0.38,0.0485386443980464,0.58,0.0493558507170123
"5","-0.25","-0.09765625",-0.0625204279130486,0.0149808581728905,1,"ch = 0.5",0.19,0.0392300904918661,0.36,0.048
"6","-0.25","-0.09765625",-0.0539207867505254,0.00989115197533519,1,"ch = 1",0.05,0.0217944947177034,0.1,0.03
"7","0","0",0.00323321085566188,0.0219732103828456,0,"ch = 0.25",0.74,0.0438634243989226,0.92,0.0271293199325011
"8","0","0",0.00879411862915568,0.0175805040055837,0,"ch = 0.5",0.71,0.0453762052181537,0.91,0.0286181760425084
"9","0","0",0.0237645179459332,0.0172843977077082,0,"ch = 1",0.46,0.0498397431775085,0.76,0.0427083130081252
"10","0","0",0.00457651294880298,0.00932844603963432,1,"ch = 0.25",0.5,0.05,0.71,0.0453762052181537
"11","0","0",0.00985670486197749,0.00932699538010983,1,"ch = 0.5",0.41,0.0491833305094318,0.69,0.0462493243193887
"12","0","0",0.02345988487651,0.0105967714476156,1,"ch = 1",0.22,0.041424630354416,0.43,0.0495075751779463
"13","0.25","0.31640625",0.296947346829718,0.114097377069955,0,"ch = 0.25",0.88,0.0324961536185438,0.93,0.0255147016443461
"14","0.25","0.31640625",0.291607212468515,0.0795965715045172,0,"ch = 0.5",0.82,0.0384187454245971,0.91,0.0286181760425084
"15","0.25","0.31640625",0.268413243979875,0.0534786537613517,0,"ch = 1",0.7,0.0458257569495584,0.84,0.0366606055596467
"16","0.25","0.31640625",0.226576058620456,0.0724860624158368,1,"ch = 0.25",0.51,0.0499899989998,0.69,0.0462493243193887
"17","0.25","0.31640625",0.221784790070613,0.04838848489599,1,"ch = 0.5",0.29,0.0453762052181537,0.49,0.0499899989998
"18","0.25","0.31640625",0.206984977605924,0.0316432837371224,1,"ch = 1",0.09,0.0286181760425084,0.14,0.0346987031457949
