"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","25","0",-1.56250807344407e+27,1.05768439244095e+27,0,"ch = 0.25",0,0,1,0
"2","30","0",1.97322431565168e+28,9.86357121165644e+27,0,"ch = 0.25",0,0,0,0
"3","35","0",1.07506350766701e+27,5.9589024505708e+26,0,"ch = 0.25",0,0,1,0
"4","40","0",-3.58328669612683e+27,1.09733252065554e+28,0,"ch = 0.25",1,0,1,0
"5","45","0",-2.24709991882969e+27,8.68922651847584e+27,0,"ch = 0.25",1,0,1,0
"6","50","0",2.06123178567295e+28,1.38345184659958e+28,0,"ch = 0.25",0,0,1,0
"7","55","0",7.144903006776e+28,5.71459472829552e+28,0,"ch = 0.25",1,0,1,0
"8","60","0",-3.73752957315119e+29,3.49531322445496e+29,0,"ch = 0.25",1,0,1,0
"9","65","0",-1.83814293413572e+28,1.61627853550625e+28,0,"ch = 0.25",1,0,1,0
