"","v","CATE_v","mean_est","mean_SE","bias","alg","CI 80","CI 80 SE","CI 95","CI 95 SE"
"1","-0.25","-0.09765625",-0.031544969778751,0.0147858764115931,0,"ch = 0.25",0.1,0.03,0.18,0.0384187454245971
"2","-0.25","-0.09765625",-0.0305877742468907,0.0103907863605109,0,"ch = 0.5",0.02,0.014,0.1,0.03
"3","-0.25","-0.09765625",-0.0261434323478967,0.00752938950312879,0,"ch = 1",0.01,0.0099498743710662,0.02,0.014
"4","-0.25","-0.09765625",-0.0285485170416233,0.0145542402738344,1,"ch = 0.25",0.03,0.017058722109232,0.15,0.0357071421427143
"5","-0.25","-0.09765625",-0.0289487570795953,0.0103424462777398,1,"ch = 0.5",0.02,0.014,0.04,0.0195959179422654
"6","-0.25","-0.09765625",-0.0250067112791675,0.00787290097244996,1,"ch = 1",0,0,0.01,0.0099498743710662
"7","0","0",0.0514180411116898,0.0213001053164297,0,"ch = 0.25",0.07,0.0255147016443462,0.22,0.041424630354416
"8","0","0",0.0527749163177726,0.015088881462973,0,"ch = 0.5",0.05,0.0217944947177034,0.1,0.03
"9","0","0",0.0623250549876329,0.0119787334884293,0,"ch = 1",0.03,0.017058722109232,0.05,0.0217944947177034
"10","0","0",0.0517627460394301,0.0214419993405985,1,"ch = 0.25",0.07,0.0255147016443462,0.29,0.0453762052181537
"11","0","0",0.0533984960417039,0.0154560476211627,1,"ch = 0.5",0.05,0.0217944947177034,0.09,0.0286181760425084
"12","0","0",0.0631358348481962,0.0120745223834699,1,"ch = 1",0.03,0.017058722109232,0.05,0.0217944947177034
"13","0.25","0.31640625",0.238315550159474,0.0748478808972621,0,"ch = 0.25",0.61,0.0487749935930288,0.78,0.041424630354416
"14","0.25","0.31640625",0.236496686463869,0.0512480372066674,0,"ch = 0.5",0.41,0.0491833305094318,0.61,0.0487749935930288
"15","0.25","0.31640625",0.232895585043286,0.034248277241458,0,"ch = 1",0.27,0.0443959457608462,0.43,0.0495075751779463
"16","0.25","0.31640625",0.235462493805805,0.0741041376339481,1,"ch = 0.25",0.54,0.0498397431775085,0.77,0.0420832508250016
"17","0.25","0.31640625",0.237710057274187,0.0512089073506468,1,"ch = 0.5",0.42,0.0493558507170123,0.6,0.0489897948556636
"18","0.25","0.31640625",0.232150087081383,0.0340754295610703,1,"ch = 1",0.26,0.0438634243989226,0.4,0.0489897948556636
