"","v","CATE_v","mean_est","mean_SE","bias","alg","CI 80","CI 80 SE","CI 95","CI 95 SE"
"1","-0.25","-0.09765625",-0.0633493339383244,0.0216440763620394,0,"ch = 0.25",0.35,0.0476969600708473,0.58,0.0493558507170123
"2","-0.25","-0.09765625",-0.0620172489943204,0.0149328753361917,0,"ch = 0.5",0.22,0.041424630354416,0.34,0.047370877129308
"3","-0.25","-0.09765625",-0.0531995584204606,0.00959016196180631,0,"ch = 1",0.03,0.017058722109232,0.11,0.031288975694324
"4","-0.25","-0.09765625",-0.0627459124753977,0.0214373799337069,1,"ch = 0.25",0.34,0.047370877129308,0.5,0.05
"5","-0.25","-0.09765625",-0.0607728508975711,0.0146042963260251,1,"ch = 0.5",0.2,0.04,0.32,0.0466476151587624
"6","-0.25","-0.09765625",-0.052998826043822,0.00957626333477312,1,"ch = 1",0.04,0.0195959179422654,0.1,0.03
"7","0","0",0.00565750288318248,0.0103316706113802,0,"ch = 0.25",0.43,0.0495075751779463,0.69,0.0462493243193887
"8","0","0",0.00971669871734623,0.00980133299292564,0,"ch = 0.5",0.47,0.0499099188538711,0.7,0.0458257569495584
"9","0","0",0.0214735963771084,0.0108724936185847,0,"ch = 1",0.34,0.047370877129308,0.48,0.0499599839871872
"10","0","0",0.00496000631614023,0.0103579497775541,1,"ch = 0.25",0.45,0.049749371855331,0.69,0.0462493243193887
"11","0","0",0.00974347807042761,0.00981581050846741,1,"ch = 0.5",0.47,0.0499099188538711,0.66,0.047370877129308
"12","0","0",0.0218742602223253,0.010954217065418,1,"ch = 1",0.31,0.0462493243193887,0.51,0.0499899989998
"13","0.25","0.31640625",0.21530586942877,0.0682803879518815,0,"ch = 0.25",0.34,0.047370877129308,0.65,0.0476969600708473
"14","0.25","0.31640625",0.214419039382051,0.0465411150972631,0,"ch = 0.5",0.21,0.0407308237088326,0.41,0.0491833305094318
"15","0.25","0.31640625",0.202741096489338,0.03157932502944,0,"ch = 1",0.06,0.0237486841740758,0.15,0.0357071421427143
"16","0.25","0.31640625",0.215678930121341,0.0684377432283716,1,"ch = 0.25",0.39,0.0487749935930288,0.66,0.047370877129308
"17","0.25","0.31640625",0.213783815730756,0.0464991050630098,1,"ch = 0.5",0.19,0.0392300904918661,0.39,0.0487749935930288
"18","0.25","0.31640625",0.202525751960068,0.03143013347494,1,"ch = 1",0.05,0.0217944947177034,0.13,0.0336303434416005
