"","v","CATE_v","mean_est","mean_SE","bias","alg","CI 80","CI 80 SE","CI 95","CI 95 SE"
"1","-0.25","-0.09765625",0.00179256754016264,0.00258639420259225,0,"ch = 0.25",0,0,0,0
"2","-0.25","-0.09765625",0.00212257863640419,0.00195963726281419,0,"ch = 0.5",0,0,0,0
"3","-0.25","-0.09765625",0.00362450232392755,0.00170437284343395,0,"ch = 1",0,0,0,0
"4","-0.25","-0.09765625",0.00513172547565718,0.00291219877038832,1,"ch = 0.25",0,0,0,0
"5","-0.25","-0.09765625",0.00559461914708892,0.00223536294016715,1,"ch = 0.5",0,0,0,0
"6","-0.25","-0.09765625",0.0069512117028519,0.00185217599706611,1,"ch = 1",0,0,0,0
"7","0","0",0.0283091364051184,0.0111762970719808,0,"ch = 0.25",0.08,0.0271293199325011,0.27,0.0443959457608462
"8","0","0",0.0287773501335595,0.00813262391357344,0,"ch = 0.5",0.06,0.0237486841740758,0.12,0.0324961536185438
"9","0","0",0.0314588427228398,0.00590670347436076,0,"ch = 1",0.05,0.0217944947177034,0.08,0.0271293199325011
"10","0","0",0.0317781021667791,0.0123089138155635,1,"ch = 0.25",0.04,0.0195959179422654,0.16,0.0366606055596467
"11","0","0",0.0306187283370411,0.00824346627673664,1,"ch = 0.5",0.01,0.0099498743710662,0.06,0.0237486841740758
"12","0","0",0.0332639146757072,0.00600870679674944,1,"ch = 1",0,0,0,0
"13","0.25","0.31640625",0.101524363495604,0.0350820748353903,0,"ch = 0.25",0.03,0.017058722109232,0.05,0.0217944947177034
"14","0.25","0.31640625",0.102618848398907,0.024247610226425,0,"ch = 0.5",0.01,0.0099498743710662,0.03,0.017058722109232
"15","0.25","0.31640625",0.104007637431017,0.0164863037964943,0,"ch = 1",0,0,0.02,0.014
"16","0.25","0.31640625",0.0937320865893813,0.0332644523837082,1,"ch = 0.25",0.03,0.017058722109232,0.04,0.0195959179422654
"17","0.25","0.31640625",0.0965717493725167,0.02282072498859,1,"ch = 0.5",0.01,0.0099498743710662,0.02,0.014
"18","0.25","0.31640625",0.0997738346559641,0.0160641511506177,1,"ch = 1",0,0,0.01,0.0099498743710662
