"","v","CATE_v","mean_est","mean_SE","bias","alg","CI 80","CI 80 SE","CI 95","CI 95 SE"
"1","-0.25","-0.09765625",-0.0781986116403175,0.0282348147986261,0,"ch = 0.25",0.64,0.048,0.83,0.0375632799419859
"2","-0.25","-0.09765625",-0.0760337673534194,0.0189827588646805,0,"ch = 0.5",0.52,0.0499599839871872,0.64,0.048
"3","-0.25","-0.09765625",-0.0656625189100193,0.0124317299358677,0,"ch = 1",0.2,0.04,0.37,0.0482804308182932
"4","-0.25","-0.09765625",-0.0779412498067029,0.027912941551164,1,"ch = 0.25",0.63,0.0482804308182932,0.77,0.0420832508250016
"5","-0.25","-0.09765625",-0.0752094884090299,0.0189330802241434,1,"ch = 0.5",0.5,0.05,0.65,0.0476969600708473
"6","-0.25","-0.09765625",-0.0652170970780964,0.0123506611145843,1,"ch = 1",0.23,0.0420832508250016,0.38,0.0485386443980464
"7","0","0",0.00509592825533363,0.00888112160170824,0,"ch = 0.25",0.43,0.0495075751779463,0.74,0.0438634243989226
"8","0","0",0.0105303077626799,0.0101636477084475,0,"ch = 0.5",0.51,0.0499899989998,0.72,0.0448998886412873
"9","0","0",0.0260760142090218,0.012457430018554,0,"ch = 1",0.27,0.0443959457608462,0.47,0.0499099188538711
"10","0","0",0.00540763150165756,0.00943135574270402,1,"ch = 0.25",0.48,0.0499599839871872,0.73,0.0443959457608462
"11","0","0",0.0112790102656718,0.0103164971043186,1,"ch = 0.5",0.49,0.0499899989998,0.71,0.0453762052181537
"12","0","0",0.0261407582878651,0.0125124965630326,1,"ch = 1",0.23,0.0420832508250016,0.44,0.0496386945839634
"13","0.25","0.31640625",0.259101177929845,0.0915073815147473,0,"ch = 0.25",0.83,0.0375632799419859,0.88,0.0324961536185438
"14","0.25","0.31640625",0.249789605765611,0.0587129275800835,0,"ch = 0.5",0.54,0.0498397431775085,0.74,0.0438634243989226
"15","0.25","0.31640625",0.231988136853405,0.0380255510919641,0,"ch = 1",0.22,0.041424630354416,0.43,0.0495075751779463
"16","0.25","0.31640625",0.257726186233895,0.0909409014532844,1,"ch = 0.25",0.77,0.0420832508250016,0.89,0.031288975694324
"17","0.25","0.31640625",0.249448014100715,0.0583793186181372,1,"ch = 0.5",0.54,0.0498397431775085,0.74,0.0438634243989226
"18","0.25","0.31640625",0.232601664236792,0.0382023367140441,1,"ch = 1",0.23,0.0420832508250016,0.44,0.0496386945839634
