"","v","CATE_v","mean_est","mean_SE","bias","alg","CI 80","CI 80 SE","CI 95","CI 95 SE"
"1","-0.25","-0.09765625",-0.068686459774085,0.0215040036433137,0,"ch = 0.25",0.43,0.0495075751779463,0.65,0.0476969600708473
"2","-0.25","-0.09765625",-0.0658466240101827,0.01437394955353,0,"ch = 0.5",0.27,0.0443959457608462,0.38,0.0485386443980464
"3","-0.25","-0.09765625",-0.0534062556268614,0.00909537645982529,0,"ch = 1",0.09,0.0286181760425084,0.12,0.0324961536185438
"4","-0.25","-0.09765625",-0.0674246426620223,0.0210317068430743,1,"ch = 0.25",0.43,0.0495075751779463,0.63,0.0482804308182932
"5","-0.25","-0.09765625",-0.0645431477004309,0.0140560204696858,1,"ch = 0.5",0.25,0.0433012701892219,0.39,0.0487749935930288
"6","-0.25","-0.09765625",-0.0523598513442535,0.00894486397491956,1,"ch = 1",0.07,0.0255147016443462,0.13,0.0336303434416005
"7","0","0",0.00497900853417415,0.0105528194403736,0,"ch = 0.25",0.58,0.0493558507170123,0.77,0.0420832508250016
"8","0","0",0.00796146036190107,0.00946184470968425,0,"ch = 0.5",0.51,0.0499899989998,0.65,0.0476969600708473
"9","0","0",0.0227298815283626,0.0105942716284063,0,"ch = 1",0.23,0.0420832508250016,0.35,0.0476969600708473
"10","0","0",0.00446374938730988,0.0109135356745714,1,"ch = 0.25",0.56,0.0496386945839634,0.8,0.04
"11","0","0",0.00829863047580866,0.00968512406508083,1,"ch = 0.5",0.49,0.0499899989998,0.65,0.0476969600708473
"12","0","0",0.0227967925890393,0.0104928203151649,1,"ch = 1",0.23,0.0420832508250016,0.36,0.048
"13","0.25","0.31640625",0.274798175160276,0.0901305597254859,0,"ch = 0.25",0.82,0.0384187454245971,0.93,0.0255147016443461
"14","0.25","0.31640625",0.275453683464838,0.0617589131281683,0,"ch = 0.5",0.75,0.0433012701892219,0.88,0.0324961536185438
"15","0.25","0.31640625",0.268505668711125,0.0424049444113942,0,"ch = 1",0.55,0.049749371855331,0.72,0.0448998886412873
"16","0.25","0.31640625",0.275341238603167,0.0900405588098508,1,"ch = 0.25",0.81,0.0392300904918661,0.94,0.0237486841740758
"17","0.25","0.31640625",0.274126899443551,0.0615390535576137,1,"ch = 0.5",0.73,0.0443959457608462,0.87,0.0336303434416005
"18","0.25","0.31640625",0.265890344326835,0.0419238667529401,1,"ch = 1",0.54,0.0498397431775085,0.72,0.0448998886412873
