"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","25","0",2059.16670831799,174.86875589429,0,"ch = 0.25",0,0,0,0
"2","30","0",3697.93027379987,218.179384112036,0,"ch = 0.25",0,0,0,0
"3","35","0",5182.19406902791,305.36479580175,0,"ch = 0.25",0,0,0,0
"4","40","0",6557.96507777448,398.831864871369,0,"ch = 0.25",0,0,0,0
"5","45","0",8024.98308322519,531.722946448039,0,"ch = 0.25",0,0,0,0
"6","50","0",8764.45907941023,687.26874446122,0,"ch = 0.25",0,0,0,0
"7","55","0",8905.124965059,752.036715645424,0,"ch = 0.25",0,0,0,0
"8","60","0",9009.41475709666,809.246946315628,0,"ch = 0.25",0,0,0,0
"9","65","0",9053.54954989978,1307.11711875107,0,"ch = 0.25",0,0,0,0
