"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0418385670672843,0.0161959501458673,0,"ch = 0.25",0.14,0.0346987031457949,0.27,0.0443959457608462
"2","-0.25","-0.09765625",-0.0399864191976619,0.0107926636234677,0,"ch = 0.5",0.06,0.0237486841740758,0.13,0.0336303434416005
"3","-0.25","-0.09765625",-0.0353389523611978,0.00767666556047008,0,"ch = 1",0,0,0.04,0.0195959179422654
"4","-0.25","-0.09765625",-0.0280515914289175,0.0146698188265007,1,"ch = 0.25",0.08,0.0271293199325011,0.15,0.0357071421427143
"5","-0.25","-0.09765625",-0.0277198838007998,0.0103195288613983,1,"ch = 0.5",0.02,0.014,0.06,0.0237486841740758
"6","-0.25","-0.09765625",-0.0242878623289918,0.00778196297912209,1,"ch = 1",0,0,0.01,0.0099498743710662
"7","0","0",0.0433844925343323,0.0193386800826106,0,"ch = 0.25",0.11,0.031288975694324,0.26,0.0438634243989226
"8","0","0",0.0439019010164025,0.0142404088882848,0,"ch = 0.5",0.11,0.031288975694324,0.13,0.0336303434416005
"9","0","0",0.0530871701025361,0.0117432841002433,0,"ch = 1",0.07,0.0255147016443462,0.11,0.031288975694324
"10","0","0",0.0552611344880632,0.0226786053226175,1,"ch = 0.25",0.11,0.031288975694324,0.21,0.0407308237088326
"11","0","0",0.0563321697831471,0.0161307529942408,1,"ch = 0.5",0.06,0.0237486841740758,0.1,0.03
"12","0","0",0.0626937676473391,0.012188113414548,1,"ch = 1",0.04,0.0195959179422654,0.04,0.0195959179422654
"13","0.25","0.31640625",0.247511953968459,0.079198684385917,0,"ch = 0.25",0.64,0.048,0.86,0.0346987031457949
"14","0.25","0.31640625",0.242340643508775,0.0532199012031427,0,"ch = 0.5",0.41,0.0491833305094318,0.61,0.0487749935930288
"15","0.25","0.31640625",0.23438259762475,0.0355256014590743,0,"ch = 1",0.29,0.0453762052181537,0.44,0.0496386945839634
"16","0.25","0.31640625",0.233156558300862,0.0743592904481956,1,"ch = 0.25",0.53,0.0499099188538711,0.73,0.0443959457608462
"17","0.25","0.31640625",0.228843831883493,0.0496144405699725,1,"ch = 0.5",0.37,0.0482804308182932,0.5,0.05
"18","0.25","0.31640625",0.224445272868442,0.032987566542725,1,"ch = 1",0.23,0.0420832508250016,0.37,0.0482804308182932
