"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0781980014018859,0.0253335642450253,0,"ch = 0.25",0.67,0.047021271782035,0.82,0.0384187454245971
"2","-0.25","-0.09765625",-0.0740278340219442,0.0165058446904364,0,"ch = 0.5",0.47,0.0499099188538711,0.61,0.0487749935930288
"3","-0.25","-0.09765625",-0.0612182013411771,0.0106047477644599,0,"ch = 1",0.11,0.031288975694324,0.18,0.0384187454245971
"4","-0.25","-0.09765625",-0.0715572813415859,0.0222247557803956,1,"ch = 0.25",0.48,0.0499599839871872,0.71,0.0453762052181537
"5","-0.25","-0.09765625",-0.0687589186707036,0.0146722460890922,1,"ch = 0.5",0.32,0.0466476151587624,0.51,0.0499899989998
"6","-0.25","-0.09765625",-0.0568082530368073,0.00938662582517983,1,"ch = 1",0.07,0.0255147016443462,0.13,0.0336303434416005
"7","0","0",0.00480373523150759,0.0117305620616961,0,"ch = 0.25",0.53,0.0499099188538711,0.81,0.0392300904918661
"8","0","0",0.00928129192036281,0.0104456490955245,0,"ch = 0.5",0.43,0.0495075751779463,0.66,0.047370877129308
"9","0","0",0.0257174506707706,0.0116471906314437,0,"ch = 1",0.28,0.0448998886412873,0.4,0.0489897948556636
"10","0","0",0.00650494253121032,0.0116017662486736,1,"ch = 0.25",0.5,0.05,0.73,0.0443959457608462
"11","0","0",0.0107233567446692,0.010015735750993,1,"ch = 0.5",0.29,0.0453762052181537,0.59,0.0491833305094318
"12","0","0",0.0268567425748624,0.0110721557176499,1,"ch = 1",0.25,0.0433012701892219,0.35,0.0476969600708473
"13","0.25","0.31640625",0.276640221099112,0.0907093421770628,0,"ch = 0.25",0.88,0.0324961536185438,0.96,0.0195959179422654
"14","0.25","0.31640625",0.270216258015396,0.0617846163493338,0,"ch = 0.5",0.74,0.0438634243989226,0.93,0.0255147016443461
"15","0.25","0.31640625",0.264733658593324,0.0422209959098477,0,"ch = 1",0.52,0.0499599839871872,0.74,0.0438634243989226
"16","0.25","0.31640625",0.272250748917582,0.0890770692375053,1,"ch = 0.25",0.9,0.03,0.96,0.0195959179422654
"17","0.25","0.31640625",0.267292916947565,0.0603947202121013,1,"ch = 0.5",0.75,0.0433012701892219,0.9,0.03
"18","0.25","0.31640625",0.260390857186134,0.0411289612302239,1,"ch = 1",0.47,0.0499099188538711,0.74,0.0438634243989226
