"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0974415802424036,0.0491244583218938,0,"ch = 0.25",0.854,0.015791390059143,0.924,0.0118510759005248
"2","-0.25","-0.09765625",-0.0924003396337441,0.0341658129016127,0,"ch = 0.5",0.838,0.016477621187538,0.948,0.00992935043192656
"3","-0.25","-0.09765625",-0.0758412468336048,0.0231750726224655,0,"ch = 1",0.6,0.0219089023002066,0.792,0.0181513635851415
"4","-0.25","-0.09765625",-0.0758113134440089,0.0273617993092972,1,"ch = 0.25",0.64,0.021466252583998,0.776,0.0186453211289052
"5","-0.25","-0.09765625",-0.0732138940527833,0.0185492021011427,1,"ch = 0.5",0.49,0.0223562071917398,0.63,0.0215916650585359
"6","-0.25","-0.09765625",-0.0632226472799752,0.0120545694854055,1,"ch = 1",0.182,0.0172554918793989,0.306,0.0206089301032344
"7","0","0",0.000883692369899355,0.0249561212064647,0,"ch = 0.25",0.784,0.0184034779321736,0.95,0.00974679434480897
"8","0","0",0.00665415391659786,0.0203079000353614,0,"ch = 0.5",0.778,0.0185858010319706,0.934,0.0111035129576184
"9","0","0",0.0246449980613982,0.0204177949568253,0,"ch = 1",0.522,0.0223390241505756,0.774,0.0187042241218394
"10","0","0",0.00357509709168703,0.00890199693325512,1,"ch = 0.25",0.552,0.0222394244529844,0.806,0.0176841171676734
"11","0","0",0.00901438132543251,0.0102761240614273,1,"ch = 0.5",0.558,0.0222097275985096,0.75,0.0193649167310371
"12","0","0",0.0249271929903498,0.0124494108252278,1,"ch = 1",0.272,0.0199005527561422,0.482,0.0223461853567896
"13","0.25","0.31640625",0.33036086231408,0.138036209737678,0,"ch = 0.25",0.874,0.0148407546977908,0.944,0.0102824121683582
"14","0.25","0.31640625",0.321681886343406,0.0972815088522446,0,"ch = 0.5",0.868,0.0151377673386798,0.946,0.0101078187557949
"15","0.25","0.31640625",0.310939947779291,0.0750201236476819,0,"ch = 1",0.838,0.016477621187538,0.928,0.0115599307956406
"16","0.25","0.31640625",0.249753527804397,0.0835595953692016,1,"ch = 0.25",0.704,0.0204148965219028,0.838,0.016477621187538
"17","0.25","0.31640625",0.247143994132857,0.0564365024529117,1,"ch = 0.5",0.52,0.0223427840700303,0.714,0.0202091068580479
"18","0.25","0.31640625",0.233115865268647,0.0378361919048976,1,"ch = 1",0.27,0.0198544705293292,0.42,0.0220726074581142
