"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0994968772653877,0.0831954750609219,0,"ch = 0.25",0.9,0.0134164078649987,0.988,0.00486949689393063
"2","-0.25","-0.09765625",-0.0888692052834018,0.0576199550797674,0,"ch = 0.5",0.91,0.0127984374046209,0.988,0.00486949689393063
"3","-0.25","-0.09765625",-0.0698947244963132,0.0400883304517572,0,"ch = 1",0.79,0.018215378118502,0.978,0.00655987804764693
"4","-0.25","-0.09765625",0.0198135223974294,0.00754515727202626,1,"ch = 0.25",0,0,0,0
"5","-0.25","-0.09765625",0.0198558996322938,0.00521645029604828,1,"ch = 0.5",0,0,0,0
"6","-0.25","-0.09765625",0.0202782555501882,0.00364025550545467,1,"ch = 1",0,0,0,0
"7","0","0",0.00836834023742629,0.0646066239958217,0,"ch = 0.25",0.782,0.0184648855940133,0.934,0.0111035129576184
"8","0","0",0.0171666452448957,0.0493236196199663,0,"ch = 0.5",0.848,0.0160559023415067,0.97,0.00762889244910426
"9","0","0",0.0362400971362517,0.0373963425081992,0,"ch = 1",0.68,0.0208614476966485,0.93,0.0114105214604767
"10","0","0",0.0410593068852666,0.0141255857486182,1,"ch = 0.25",0.016,0.00561141693336006,0.114,0.0142129518397833
"11","0","0",0.0407086314744922,0.00951399076018298,1,"ch = 0.5",0,0,0.032,0.00787095928079926
"12","0","0",0.0400185095760414,0.00602161421728135,1,"ch = 1",0,0,0,0
"13","0.25","0.31640625",0.334420562401164,0.131419364567929,0,"ch = 0.25",0.924,0.0118510759005248,0.974,0.00711674082709214
"14","0.25","0.31640625",0.334802104028226,0.0953584593938119,0,"ch = 0.5",0.938,0.0107848041243223,0.984,0.00561141693336006
"15","0.25","0.31640625",0.31315020463807,0.0665482369311633,0,"ch = 1",0.894,0.0137669168661687,0.98,0.00626099033699941
"16","0.25","0.31640625",0.0559421552216949,0.0186975688249694,1,"ch = 0.25",0,0,0.002,0.00199799899899875
"17","0.25","0.31640625",0.0557344858697801,0.0124566712088076,1,"ch = 0.5",0,0,0,0
"18","0.25","0.31640625",0.0557206637953676,0.00811890552716272,1,"ch = 1",0,0,0,0
