"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.100620175136763,0.0503049094745366,0,"ch = 0.25",0.842,0.0163117135825762,0.936,0.0109456840809517
"2","-0.25","-0.09765625",-0.0954426566439065,0.0349375810164182,0,"ch = 0.5",0.824,0.017030795636141,0.94,0.0106207344378814
"3","-0.25","-0.09765625",-0.0786924997501253,0.023890244798193,0,"ch = 1",0.636,0.0215176206863119,0.842,0.0163117135825762
"4","-0.25","-0.09765625",-0.0658800120707197,0.0229867443193858,1,"ch = 0.25",0.438,0.0221881049213312,0.622,0.0216848334095515
"5","-0.25","-0.09765625",-0.0635523838568294,0.0153325672196009,1,"ch = 0.5",0.254,0.0194671004517879,0.438,0.0221881049213312
"6","-0.25","-0.09765625",-0.0544893230341165,0.00994405728057113,1,"ch = 1",0.05,0.00974679434480896,0.118,0.0144274737913468
"7","0","0",0.000618027169341059,0.02508267430126,0,"ch = 0.25",0.738,0.0196649942791754,0.932,0.0112584190719657
"8","0","0",0.00685936358086123,0.020505903044438,0,"ch = 0.5",0.748,0.0194162818273736,0.922,0.0119929979571415
"9","0","0",0.0274161662588313,0.0216924323909167,0,"ch = 1",0.52,0.0223427840700303,0.79,0.018215378118502
"10","0","0",0.00432343877554707,0.00973081276979417,1,"ch = 0.25",0.526,0.022330427671677,0.744,0.0195173768729304
"11","0","0",0.00853459629085859,0.00942089630499899,1,"ch = 0.5",0.464,0.0223026455829796,0.69,0.0206833266183175
"12","0","0",0.0216610957853017,0.0106365691100901,1,"ch = 1",0.294,0.0203746901816936,0.482,0.0223461853567896
"13","0.25","0.31640625",0.349839729766199,0.155670645138788,0,"ch = 0.25",0.844,0.0162273842624127,0.926,0.0117067501895274
"14","0.25","0.31640625",0.338113576587126,0.111308070428092,0,"ch = 0.5",0.864,0.0153299706457645,0.932,0.0112584190719657
"15","0.25","0.31640625",0.313486869404397,0.0795046123916179,0,"ch = 1",0.844,0.0162273842624127,0.922,0.0119929979571415
"16","0.25","0.31640625",0.215579050067399,0.0688430436603694,1,"ch = 0.25",0.398,0.0218904545407353,0.636,0.0215176206863119
"17","0.25","0.31640625",0.212451749206705,0.0464010167214914,1,"ch = 0.5",0.24,0.0190997382181013,0.398,0.0218904545407353
"18","0.25","0.31640625",0.199278254710915,0.0306406552061804,1,"ch = 1",0.072,0.0115599307956406,0.15,0.0159687194226713
