"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.117169235991759,0.0685402606262302,0,"ch = 0.25",0.9,0.03,0.97,0.017058722109232
"2","-0.25","-0.09765625",-0.110639482315907,0.0468976729279357,0,"ch = 0.5",0.86,0.0346987031457949,1,0
"3","-0.25","-0.09765625",-0.094696741423116,0.0342385907363268,0,"ch = 1",0.84,0.0366606055596467,0.96,0.0195959179422654
"4","-0.25","-0.09765625",-0.0280515914289175,0.0146698188265007,1,"ch = 0.25",0.08,0.0271293199325011,0.15,0.0357071421427143
"5","-0.25","-0.09765625",-0.0277198838007998,0.0103195288613983,1,"ch = 0.5",0.02,0.014,0.06,0.0237486841740758
"6","-0.25","-0.09765625",-0.0242878623289918,0.00778196297912209,1,"ch = 1",0,0,0.01,0.0099498743710662
"7","0","0",0.00830406290462101,0.0661597580118404,0,"ch = 0.25",0.73,0.0443959457608462,0.96,0.0195959179422654
"8","0","0",0.00034924611034271,0.0464696760453998,0,"ch = 0.5",0.81,0.0392300904918661,0.98,0.014
"9","0","0",0.01995936570724,0.03864674771534,0,"ch = 1",0.7,0.0458257569495584,0.97,0.017058722109232
"10","0","0",0.0552611344880632,0.0226786053226175,1,"ch = 0.25",0.11,0.031288975694324,0.21,0.0407308237088326
"11","0","0",0.0563321697831471,0.0161307529942408,1,"ch = 0.5",0.06,0.0237486841740758,0.1,0.03
"12","0","0",0.0626937676473391,0.012188113414548,1,"ch = 1",0.04,0.0195959179422654,0.04,0.0195959179422654
"13","0.25","0.31640625",0.340204402627227,0.159384246715354,0,"ch = 0.25",0.88,0.0324961536185438,0.94,0.0237486841740758
"14","0.25","0.31640625",0.350961877044474,0.128796550278254,0,"ch = 0.5",0.9,0.03,0.97,0.017058722109232
"15","0.25","0.31640625",0.327226900312989,0.0950831420087697,0,"ch = 1",0.81,0.0392300904918661,0.99,0.0099498743710662
"16","0.25","0.31640625",0.233156558300862,0.0743592904481956,1,"ch = 0.25",0.53,0.0499099188538711,0.73,0.0443959457608462
"17","0.25","0.31640625",0.228843831883493,0.0496144405699725,1,"ch = 0.5",0.37,0.0482804308182932,0.5,0.05
"18","0.25","0.31640625",0.224445272868442,0.032987566542725,1,"ch = 1",0.23,0.0420832508250016,0.37,0.0482804308182932
