"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","25","0",61.9410768650936,1916.29757353971,0,"ch = 0.25",1,0,1,0
"2","30","0",3178.34319827318,1277.8792337194,0,"ch = 0.25",0,0,0,0
"3","35","0",5511.83264371804,1924.51341126535,0,"ch = 0.25",0,0,0,0
"4","40","0",1811.26308317418,3704.73274256649,0,"ch = 0.25",1,0,1,0
"5","45","0",11452.468283153,5047.71076193419,0,"ch = 0.25",0,0,0,0
"6","50","0",10507.9076381454,3918.18345895079,0,"ch = 0.25",0,0,0,0
"7","55","0",13283.4402478954,4965.71080111715,0,"ch = 0.25",0,0,0,0
"8","60","0",9665.53657672851,5896.44086398103,0,"ch = 0.25",0,0,1,0
"9","65","0",2498.64298267285,15373.1526605966,0,"ch = 0.25",1,0,1,0
