"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","25","0",-177.41591967062,1970.74054598277,0,"ch = 0.25",1,0,1,0
"2","30","0",3246.29182910099,1293.41672539742,0,"ch = 0.25",0,0,0,0
"3","35","0",5653.33176685803,1949.28210162158,0,"ch = 0.25",0,0,0,0
"4","40","0",2019.7234991301,3801.96883146941,0,"ch = 0.25",1,0,1,0
"5","45","0",12008.2132168989,5141.78385764856,0,"ch = 0.25",0,0,0,0
"6","50","0",12984.8113034759,4277.41419891199,0,"ch = 0.25",0,0,0,0
"7","55","0",12634.8124597322,5073.34318643045,0,"ch = 0.25",0,0,0,0
"8","60","0",10711.0064232024,6158.68003588664,0,"ch = 0.25",0,0,1,0
"9","65","0",2635.23406408711,15607.0692020954,0,"ch = 0.25",1,0,1,0
