"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0821702433332843,0.0357302819151757,0,"ch = 0.25",0.75,0.0433012701892219,0.87,0.0336303434416005
"2","-0.25","-0.09765625",-0.0806414557681046,0.025579401236384,0,"ch = 0.5",0.7,0.0458257569495584,0.85,0.0357071421427143
"3","-0.25","-0.09765625",-0.0680256278749973,0.0175332809734471,0,"ch = 1",0.37,0.0482804308182932,0.56,0.0496386945839634
"4","-0.25","-0.09765625",-0.0641683565794657,0.0218987500403037,1,"ch = 0.25",0.38,0.0485386443980464,0.58,0.0493558507170123
"5","-0.25","-0.09765625",-0.0625204279130486,0.0149808581728905,1,"ch = 0.5",0.19,0.0392300904918661,0.36,0.048
"6","-0.25","-0.09765625",-0.0539207867505254,0.00989115197533519,1,"ch = 1",0.05,0.0217944947177034,0.1,0.03
"7","0","0",0.00297912206390875,0.0196311887556092,0,"ch = 0.25",0.73,0.0443959457608462,0.88,0.0324961536185438
"8","0","0",0.00844022623389104,0.0158872470870951,0,"ch = 0.5",0.7,0.0458257569495584,0.9,0.03
"9","0","0",0.0224417602666248,0.0156565901957798,0,"ch = 1",0.45,0.049749371855331,0.7,0.0458257569495584
"10","0","0",0.00457651294880298,0.00932844603963432,1,"ch = 0.25",0.5,0.05,0.71,0.0453762052181537
"11","0","0",0.00985670486197749,0.00932699538010983,1,"ch = 0.5",0.41,0.0491833305094318,0.69,0.0462493243193887
"12","0","0",0.02345988487651,0.0105967714476156,1,"ch = 1",0.22,0.041424630354416,0.43,0.0495075751779463
"13","0.25","0.31640625",0.276519386602409,0.100753408769529,0,"ch = 0.25",0.83,0.0375632799419859,0.93,0.0255147016443461
"14","0.25","0.31640625",0.271242177690253,0.0693048941469223,0,"ch = 0.5",0.77,0.0420832508250016,0.85,0.0357071421427143
"15","0.25","0.31640625",0.250703956803671,0.0464245756387344,0,"ch = 1",0.44,0.0496386945839634,0.72,0.0448998886412873
"16","0.25","0.31640625",0.226576058620456,0.0724860624158368,1,"ch = 0.25",0.51,0.0499899989998,0.69,0.0462493243193887
"17","0.25","0.31640625",0.221784790070613,0.04838848489599,1,"ch = 0.5",0.29,0.0453762052181537,0.49,0.0499899989998
"18","0.25","0.31640625",0.206984977605924,0.0316432837371224,1,"ch = 1",0.09,0.0286181760425084,0.14,0.0346987031457949
