"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0771964037615652,0.0451748173578419,0,"ch = 0.25",0.74,0.0438634243989226,0.93,0.0255147016443461
"2","-0.25","-0.09765625",-0.0772923953474751,0.0324130835690012,0,"ch = 0.5",0.72,0.0448998886412873,0.9,0.03
"3","-0.25","-0.09765625",-0.066082574503261,0.0225194200921488,0,"ch = 1",0.4,0.0489897948556636,0.65,0.0476969600708473
"4","-0.25","-0.09765625",0.00444411091826423,0.00279827465129549,1,"ch = 0.25",0,0,0,0
"5","-0.25","-0.09765625",0.00465931899400639,0.00215480405180409,1,"ch = 0.5",0,0,0,0
"6","-0.25","-0.09765625",0.00597060050203687,0.00185728929807695,1,"ch = 1",0,0,0,0
"7","0","0",-0.00955833404120569,0.0323834451918693,0,"ch = 0.25",0.81,0.0392300904918661,0.95,0.0217944947177034
"8","0","0",-0.00273884578612525,0.0245324593954147,0,"ch = 0.5",0.8,0.04,0.98,0.014
"9","0","0",0.0130723579894535,0.0203868990938062,0,"ch = 1",0.7,0.0458257569495584,0.9,0.03
"10","0","0",0.0302282022235251,0.0117622206218663,1,"ch = 0.25",0.05,0.0217944947177034,0.16,0.0366606055596467
"11","0","0",0.0320073718418449,0.00859148111004485,1,"ch = 0.5",0.03,0.017058722109232,0.08,0.0271293199325011
"12","0","0",0.0350341970916374,0.00605997554214361,1,"ch = 1",0.04,0.0195959179422654,0.05,0.0217944947177034
"13","0.25","0.31640625",0.236288895777882,0.0861422560512694,0,"ch = 0.25",0.65,0.0476969600708473,0.81,0.0392300904918661
"14","0.25","0.31640625",0.235860539230407,0.0610601548991956,0,"ch = 0.5",0.49,0.0499899989998,0.68,0.0466476151587624
"15","0.25","0.31640625",0.224776035277557,0.043230932339684,0,"ch = 1",0.29,0.0453762052181537,0.45,0.049749371855331
"16","0.25","0.31640625",0.0890806832367309,0.0305222032795839,1,"ch = 0.25",0,0,0.03,0.017058722109232
"17","0.25","0.31640625",0.0941985172533958,0.0223745906501451,1,"ch = 0.5",0,0,0.01,0.0099498743710662
"18","0.25","0.31640625",0.0949719877909251,0.0152689165992314,1,"ch = 1",0,0,0,0
