"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0896067354021767,0.0562485082874329,0,"ch = 0.25",0.91,0.0286181760425084,0.99,0.0099498743710662
"2","-0.25","-0.09765625",-0.0781052653156362,0.0381932457581957,0,"ch = 0.5",0.84,0.0366606055596467,0.97,0.017058722109232
"3","-0.25","-0.09765625",-0.0639815294807617,0.026113841804795,0,"ch = 1",0.49,0.0499899989998,0.8,0.04
"4","-0.25","-0.09765625",0.0238363612352342,0.00908601690039237,1,"ch = 0.25",0,0,0,0
"5","-0.25","-0.09765625",0.0221320271074964,0.00570401064012245,1,"ch = 0.5",0,0,0,0
"6","-0.25","-0.09765625",0.0228704949601816,0.00402899564308633,1,"ch = 1",0,0,0,0
"7","0","0",-0.0069057287314285,0.0384460023394005,0,"ch = 0.25",0.77,0.0420832508250016,0.94,0.0237486841740758
"8","0","0",-0.00246970585709121,0.0284489556083569,0,"ch = 0.5",0.77,0.0420832508250016,0.92,0.0271293199325011
"9","0","0",0.0103691199608807,0.0221999533969093,0,"ch = 1",0.72,0.0448998886412873,0.91,0.0286181760425084
"10","0","0",0.0406359583974794,0.013718780837881,1,"ch = 0.25",0.03,0.017058722109232,0.13,0.0336303434416005
"11","0","0",0.040843807252261,0.00946701196363413,1,"ch = 0.5",0,0,0.02,0.014
"12","0","0",0.0401182029371842,0.00601158378648623,1,"ch = 1",0,0,0,0
"13","0.25","0.31640625",0.233134273075366,0.0862691817959266,0,"ch = 0.25",0.61,0.0487749935930288,0.84,0.0366606055596467
"14","0.25","0.31640625",0.23334205215723,0.0606373515529762,0,"ch = 0.5",0.44,0.0496386945839634,0.68,0.0466476151587624
"15","0.25","0.31640625",0.219652629371253,0.0428539233069276,0,"ch = 1",0.18,0.0384187454245971,0.36,0.048
"16","0.25","0.31640625",0.0558097012928714,0.0184834593212822,1,"ch = 0.25",0,0,0.02,0.014
"17","0.25","0.31640625",0.0576977313419631,0.0128631223985936,1,"ch = 0.5",0,0,0,0
"18","0.25","0.31640625",0.0566462983382639,0.00814677848489403,1,"ch = 1",0,0,0,0
