"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","25","0",-5.47189279598938e+28,3.82376276255121e+28,0,"ch = 0.25",0,0,1,0
"2","30","0",-4.62861277408977e+27,3.49676291965802e+27,0,"ch = 0.25",0,0,1,0
"3","35","0",-6.7735067756716e+27,1.08122866948003e+28,0,"ch = 0.25",1,0,1,0
"4","40","0",-1.78272280587067e+27,1.77482928237473e+27,0,"ch = 0.25",1,0,1,0
"5","45","0",-1.37396016409521e+29,3.51432978109007e+29,0,"ch = 0.25",1,0,1,0
"6","50","0",3.14928069922724e+29,3.77505365744349e+29,0,"ch = 0.25",1,0,1,0
"7","55","0",1.0971062327877e+29,1.25940239217362e+29,0,"ch = 0.25",1,0,1,0
"8","60","0",-6.15967523691943e+27,1.28266864449188e+28,0,"ch = 0.25",1,0,1,0
"9","65","0",-6.56900678849967e+28,1.83896898398723e+29,0,"ch = 0.25",1,0,1,0
