"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","25","0",7.16343371283671e+28,8.29809955136415e+28,0,"ch = 0.25",1,0,1,0
"2","30","0",5.68059860362221e+28,2.55266219484073e+28,0,"ch = 0.25",0,0,0,0
"3","35","0",-7.33624058720045e+26,8.02154130922185e+26,0,"ch = 0.25",1,0,1,0
"4","40","0",-8.56333603546994e+30,5.39816753759892e+30,0,"ch = 0.25",0,0,1,0
"5","45","0",-1.03163755597584e+29,6.3677980891005e+28,0,"ch = 0.25",0,0,1,0
"6","50","0",-8.68688980206841e+27,1.23283320195018e+28,0,"ch = 0.25",1,0,1,0
"7","55","0",2.3434438882392e+28,1.31330162170225e+28,0,"ch = 0.25",0,0,1,0
"8","60","0",-1.78283883137916e+30,2.07660258855732e+30,0,"ch = 0.25",1,0,1,0
"9","65","0",7.62201299105842e+27,5.36311863382811e+27,0,"ch = 0.25",0,0,1,0
