"","v","CATE_v","mean_est","mean_SE","bias","alg","CI 80","CI 80 SE","CI 95","CI 95 SE"
"1","25","0",-1014.21608778591,2539.21856689288,0,"ch = 0.25",1,0,1,0
"2","30","0",2631.53640525282,1720.63635708009,0,"ch = 0.25",0,0,1,0
"3","35","0",5872.98924420339,2629.51120359533,0,"ch = 0.25",0,0,0,0
"4","40","0",-2053.63247155146,6956.10322725741,0,"ch = 0.25",1,0,1,0
"5","45","0",12614.6417749861,7275.70785031114,0,"ch = 0.25",0,0,1,0
"6","50","0",12268.9989588921,5780.28448684002,0,"ch = 0.25",0,0,0,0
"7","55","0",15182.2836339542,6074.50413124985,0,"ch = 0.25",0,0,0,0
"8","60","0",15225.4977607781,7705.0172478716,0,"ch = 0.25",0,0,0,0
"9","65","0",6385.22338650852,18580.0298252507,0,"ch = 0.25",1,0,1,0
