"","v","CATE_v","mean_est","mean_SE","bias","alg","CI 80","CI 80 SE","CI 95","CI 95 SE"
"1","25","0",-327.807006641014,2484.70216611303,0,"ch = 0.25",1,0,1,0
"2","30","0",2582.50961647466,1796.08893827747,0,"ch = 0.25",0,0,1,0
"3","35","0",5899.25166084579,2811.01417955546,0,"ch = 0.25",0,0,0,0
"4","40","0",-654.230614776227,7145.25766956218,0,"ch = 0.25",1,0,1,0
"5","45","0",13996.3647539307,7234.67989615672,0,"ch = 0.25",0,0,1,0
"6","50","0",10235.6176104375,5511.94285854382,0,"ch = 0.25",0,0,1,0
"7","55","0",10148.37723083,6753.87605327992,0,"ch = 0.25",0,0,1,0
"8","60","0",12612.0275101513,7258.93002853258,0,"ch = 0.25",0,0,1,0
"9","65","0",10173.1745946643,21124.8882474458,0,"ch = 0.25",1,0,1,0
