"","v","CATE_v","mean_est","mean_SE","bias","alg","CI 80","CI 80 SE","CI 95","CI 95 SE"
"1","25","0",-644.462991332336,2545.17958749558,0,"ch = 0.25",1,0,1,0
"2","30","0",2372.76852856017,1822.65500714221,0,"ch = 0.25",0,0,1,0
"3","35","0",5952.46376723695,2846.30061651604,0,"ch = 0.25",0,0,0,0
"4","40","0",-1035.39729894927,7152.56242094878,0,"ch = 0.25",1,0,1,0
"5","45","0",14729.2828162775,7304.67943785041,0,"ch = 0.25",0,0,0,0
"6","50","0",13850.8921655166,5825.96607996599,0,"ch = 0.25",0,0,0,0
"7","55","0",10789.2399935623,6649.55155786825,0,"ch = 0.25",0,0,1,0
"8","60","0",13674.1909072521,6813.51668220934,0,"ch = 0.25",0,0,0,0
"9","65","0",7187.65067634872,21163.9663513708,0,"ch = 0.25",1,0,1,0
