"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0952523200832931,0.0901453660824555,0,"ch = 0.25",0.9,0.0134164078649987,0.99,0.0044497190922574
"2","-0.25","-0.09765625",-0.0834222660490932,0.0627724073037422,0,"ch = 0.5",0.906,0.0130509769749241,0.986,0.00525433154644813
"3","-0.25","-0.09765625",-0.0637147153991774,0.0442594225649549,0,"ch = 1",0.768,0.0188772879408034,0.974,0.00711674082709214
"4","-0.25","-0.09765625",0.0198135223974294,0.00754515727202626,1,"ch = 0.25",0,0,0,0
"5","-0.25","-0.09765625",0.0198558996322938,0.00521645029604828,1,"ch = 0.5",0,0,0,0
"6","-0.25","-0.09765625",0.0202782555501882,0.00364025550545467,1,"ch = 1",0,0,0,0
"7","0","0",0.0165897334396479,0.0729058129194201,0,"ch = 0.25",0.8,0.0178885438199983,0.942,0.0104533248299285
"8","0","0",0.0271643524884442,0.056924096358995,0,"ch = 0.5",0.836,0.0165592270351004,0.976,0.00684455988358638
"9","0","0",0.0472950690425192,0.043175949483054,0,"ch = 1",0.628,0.0216155499583055,0.92,0.0121326007104825
"10","0","0",0.0410593068852666,0.0141255857486182,1,"ch = 0.25",0.016,0.00561141693336006,0.114,0.0142129518397833
"11","0","0",0.0407086314744922,0.00951399076018298,1,"ch = 0.5",0,0,0.032,0.00787095928079926
"12","0","0",0.0400185095760414,0.00602161421728135,1,"ch = 1",0,0,0,0
"13","0.25","0.31640625",0.363949928180595,0.148726369861834,0,"ch = 0.25",0.926,0.0117067501895274,0.98,0.00626099033699941
"14","0.25","0.31640625",0.367973060709983,0.111688991762177,0,"ch = 0.5",0.932,0.0112584190719657,0.988,0.00486949689393063
"15","0.25","0.31640625",0.34335085475722,0.078105441417387,0,"ch = 1",0.928,0.0115599307956406,0.992,0.0039839678713564
"16","0.25","0.31640625",0.0559421552216949,0.0186975688249694,1,"ch = 0.25",0,0,0.002,0.00199799899899875
"17","0.25","0.31640625",0.0557344858697801,0.0124566712088076,1,"ch = 0.5",0,0,0,0
"18","0.25","0.31640625",0.0557206637953676,0.00811890552716272,1,"ch = 1",0,0,0,0
