"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.104957301423463,0.0539764640800963,0,"ch = 0.25",0.85,0.0159687194226713,0.938,0.0107848041243223
"2","-0.25","-0.09765625",-0.0990997259904017,0.0374185752435418,0,"ch = 0.5",0.83,0.016798809481627,0.942,0.0104533248299285
"3","-0.25","-0.09765625",-0.0816088846250539,0.0259032581959735,0,"ch = 1",0.68,0.0208614476966485,0.872,0.0149409504383088
"4","-0.25","-0.09765625",-0.0658800120707197,0.0229867443193858,1,"ch = 0.25",0.438,0.0221881049213312,0.622,0.0216848334095515
"5","-0.25","-0.09765625",-0.0635523838568294,0.0153325672196009,1,"ch = 0.5",0.254,0.0194671004517879,0.438,0.0221881049213312
"6","-0.25","-0.09765625",-0.0544893230341165,0.00994405728057113,1,"ch = 1",0.05,0.00974679434480896,0.118,0.0144274737913468
"7","0","0",0.000755007548083904,0.0263388009661502,0,"ch = 0.25",0.74,0.0196163197363828,0.936,0.0109456840809517
"8","0","0",0.00759683666207047,0.0217563793947884,0,"ch = 0.5",0.746,0.0194671004517879,0.928,0.0115599307956406
"9","0","0",0.0309104111981624,0.0244816240623407,0,"ch = 1",0.518,0.0223461853567896,0.798,0.0179552777756291
"10","0","0",0.00432343877554707,0.00973081276979417,1,"ch = 0.25",0.526,0.022330427671677,0.744,0.0195173768729304
"11","0","0",0.00853459629085859,0.00942089630499899,1,"ch = 0.5",0.464,0.0223026455829796,0.69,0.0206833266183175
"12","0","0",0.0216610957853017,0.0106365691100901,1,"ch = 1",0.294,0.0203746901816936,0.482,0.0223461853567896
"13","0.25","0.31640625",0.394417256013327,0.190085888960469,0,"ch = 0.25",0.85,0.0159687194226713,0.936,0.0109456840809517
"14","0.25","0.31640625",0.37850618703151,0.138638528207323,0,"ch = 0.5",0.872,0.0149409504383088,0.948,0.00992935043192656
"15","0.25","0.31640625",0.349671611509096,0.101013227904688,0,"ch = 1",0.866,0.0152344346793703,0.952,0.00955991631762538
"16","0.25","0.31640625",0.215579050067399,0.0688430436603694,1,"ch = 0.25",0.398,0.0218904545407353,0.636,0.0215176206863119
"17","0.25","0.31640625",0.212451749206705,0.0464010167214914,1,"ch = 0.5",0.24,0.0190997382181013,0.398,0.0218904545407353
"18","0.25","0.31640625",0.199278254710915,0.0306406552061804,1,"ch = 1",0.072,0.0115599307956406,0.15,0.0159687194226713
