"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0973946952716433,0.0526359383112141,0,"ch = 0.25",0.836,0.0165592270351004,0.93,0.0114105214604767
"2","-0.25","-0.09765625",-0.0947279189128207,0.0372537177121321,0,"ch = 0.5",0.828,0.0168769665520792,0.946,0.0101078187557949
"3","-0.25","-0.09765625",-0.0793066907395997,0.0265963250346721,0,"ch = 1",0.678,0.0208957411928843,0.868,0.0151377673386798
"4","-0.25","-0.09765625",-0.0705516419441455,0.0221083427215565,1,"ch = 0.25",0.474,0.022330427671677,0.684,0.020791536739741
"5","-0.25","-0.09765625",-0.0676784664790598,0.0145444309712407,1,"ch = 0.5",0.308,0.0206463556106156,0.454,0.0222658482883541
"6","-0.25","-0.09765625",-0.055684724559166,0.00930142481326094,1,"ch = 1",0.07,0.0114105214604767,0.14,0.0155177317930167
"7","0","0",0.00283541377550484,0.0340402387679947,0,"ch = 0.25",0.8,0.0178885438199983,0.974,0.00711674082709214
"8","0","0",0.00893838400037318,0.0261893585162891,0,"ch = 0.5",0.778,0.0185858010319706,0.964,0.0083311463797007
"9","0","0",0.029624149485384,0.0246177007487703,0,"ch = 1",0.518,0.0223461853567896,0.798,0.0179552777756291
"10","0","0",0.00538586996677486,0.0109889259645376,1,"ch = 0.25",0.54,0.0222890107452081,0.766,0.0189337793374698
"11","0","0",0.0102834551824546,0.00981849072963107,1,"ch = 0.5",0.424,0.022100859711785,0.64,0.021466252583998
"12","0","0",0.0262764066637619,0.0109050224791313,1,"ch = 1",0.22,0.0185256578830551,0.356,0.0214132669156297
"13","0.25","0.31640625",0.338586140099154,0.139297086879655,0,"ch = 0.25",0.924,0.0118510759005248,0.962,0.00855055553750749
"14","0.25","0.31640625",0.338993896718972,0.104229479171645,0,"ch = 0.5",0.916,0.0124051602166195,0.972,0.00737780455149091
"15","0.25","0.31640625",0.317652992376735,0.0767072704171011,0,"ch = 1",0.884,0.0143208938268531,0.966,0.00810481338464989
"16","0.25","0.31640625",0.268795513545809,0.0876116374546052,1,"ch = 0.25",0.792,0.0181513635851415,0.934,0.0111035129576184
"17","0.25","0.31640625",0.267717273271366,0.0595959264847362,1,"ch = 0.5",0.652,0.0213023942316351,0.866,0.0152344346793703
"18","0.25","0.31640625",0.261275965554117,0.0412082538406125,1,"ch = 1",0.474,0.022330427671677,0.674,0.0209630150503214
