"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.117138761097951,0.0680124699437415,0,"ch = 0.25",0.874,0.0148407546977908,0.958,0.00897061870775924
"2","-0.25","-0.09765625",-0.108784691046925,0.0471394887479425,0,"ch = 0.5",0.874,0.0148407546977908,0.98,0.00626099033699941
"3","-0.25","-0.09765625",-0.0918002051870505,0.0344118830181602,0,"ch = 1",0.818,0.0172554918793989,0.958,0.00897061870775924
"4","-0.25","-0.09765625",-0.0269132831476828,0.0144377735605447,1,"ch = 0.25",0.052,0.00992935043192655,0.13,0.0150399468084166
"5","-0.25","-0.09765625",-0.0263377645218606,0.0102698904508253,1,"ch = 0.5",0.02,0.00626099033699941,0.056,0.0102824121683582
"6","-0.25","-0.09765625",-0.0231658713699568,0.00759203825486093,1,"ch = 1",0.002,0.00199799899899875,0.008,0.00398396787135639
"7","0","0",-0.00978281916022095,0.0577020155456656,0,"ch = 0.25",0.794,0.0180866801818355,0.964,0.0083311463797007
"8","0","0",-0.00460994281130885,0.0450762669225694,0,"ch = 0.5",0.828,0.0168769665520792,0.974,0.00711674082709214
"9","0","0",0.0213613765118408,0.0374209003533954,0,"ch = 1",0.724,0.0199911980631477,0.934,0.0111035129576184
"10","0","0",0.0568996407210102,0.0230911165815931,1,"ch = 0.25",0.066,0.0111035129576184,0.188,0.0174731794473702
"11","0","0",0.0595400111233011,0.0166427261632022,1,"ch = 0.5",0.038,0.00855055553750749,0.074,0.0117067501895274
"12","0","0",0.0680580032513373,0.0126830225097014,1,"ch = 1",0.018,0.005945754788082,0.042,0.00897061870775924
"13","0.25","0.31640625",0.355838519788873,0.16748943584918,0,"ch = 0.25",0.858,0.0156099967969247,0.936,0.0109456840809517
"14","0.25","0.31640625",0.348074748845984,0.121600245282856,0,"ch = 0.5",0.892,0.0138806339912844,0.968,0.00787095928079926
"15","0.25","0.31640625",0.333638124271356,0.096390421793238,0,"ch = 1",0.892,0.0138806339912844,0.978,0.00655987804764693
"16","0.25","0.31640625",0.232876726146606,0.0755689495941704,1,"ch = 0.25",0.56,0.0221990990808186,0.748,0.0194162818273736
"17","0.25","0.31640625",0.231897370590811,0.0503198375831649,1,"ch = 0.5",0.38,0.0217071416819442,0.574,0.0221144296783797
"18","0.25","0.31640625",0.226257324314382,0.0331161030560174,1,"ch = 1",0.214,0.0183414285157945,0.368,0.0215673827804859
