"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","25","0",580.494827744901,1561.15480508252,0,"ch = 0.25",1,0,1,0
"2","30","0",3636.52527798284,1022.3240158158,0,"ch = 0.25",0,0,0,0
"3","35","0",5482.18696598177,1509.45220497268,0,"ch = 0.25",0,0,0,0
"4","40","0",3371.01602047457,2510.62565787977,0,"ch = 0.25",0,0,1,0
"5","45","0",10724.2817939886,3769.93613575367,0,"ch = 0.25",0,0,0,0
"6","50","0",9458.5907146468,2991.38650077884,0,"ch = 0.25",0,0,0,0
"7","55","0",12311.0411518414,4103.90693692631,0,"ch = 0.25",0,0,0,0
"8","60","0",8817.99191630747,4684.22262633849,0,"ch = 0.25",0,0,1,0
"9","65","0",2831.16831329842,12886.8923278465,0,"ch = 0.25",1,0,1,0
