"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0748220453338224,0.125417861154057,0,"ch = 0.25",0.92,0.0271293199325011,1,0
"2","-0.25","-0.09765625",-0.0423622352095344,0.100662416931607,0,"ch = 0.5",0.9,0.03,0.99,0.0099498743710662
"3","-0.25","-0.09765625",-0.0248975857303926,0.0703246253358617,0,"ch = 1",0.65,0.0476969600708473,0.97,0.017058722109232
"4","-0.25","-0.09765625",0.0238363612352342,0.00908601690039237,1,"ch = 0.25",0,0,0,0
"5","-0.25","-0.09765625",0.0221320271074964,0.00570401064012245,1,"ch = 0.5",0,0,0,0
"6","-0.25","-0.09765625",0.0228704949601816,0.00402899564308633,1,"ch = 1",0,0,0,0
"7","0","0",0.0862657525565524,0.141090322655808,0,"ch = 0.25",0.87,0.0336303434416005,0.97,0.017058722109232
"8","0","0",0.0879763982677686,0.104864293289643,0,"ch = 0.5",0.82,0.0384187454245971,0.99,0.0099498743710662
"9","0","0",0.0989555980708948,0.0759324299612658,0,"ch = 1",0.43,0.0495075751779463,0.96,0.0195959179422654
"10","0","0",0.0406359583974794,0.013718780837881,1,"ch = 0.25",0.03,0.017058722109232,0.13,0.0336303434416005
"11","0","0",0.040843807252261,0.00946701196363413,1,"ch = 0.5",0,0,0.02,0.014
"12","0","0",0.0401182029371842,0.00601158378648623,1,"ch = 1",0,0,0,0
"13","0.25","0.31640625",0.447390530076618,0.20442688408232,0,"ch = 0.25",0.88,0.0324961536185438,0.99,0.0099498743710662
"14","0.25","0.31640625",0.49384123765,0.185271069094773,0,"ch = 0.5",0.83,0.0375632799419859,1,0
"15","0.25","0.31640625",0.487184141115331,0.145674382823915,0,"ch = 1",0.63,0.0482804308182932,0.97,0.017058722109232
"16","0.25","0.31640625",0.0558097012928714,0.0184834593212822,1,"ch = 0.25",0,0,0.02,0.014
"17","0.25","0.31640625",0.0576977313419631,0.0128631223985936,1,"ch = 0.5",0,0,0,0
"18","0.25","0.31640625",0.0566462983382639,0.00814677848489403,1,"ch = 1",0,0,0,0
