"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.113490007272808,0.0650812046470028,0,"ch = 0.25",0.86,0.0346987031457949,0.92,0.0271293199325011
"2","-0.25","-0.09765625",-0.110183158128701,0.048892479742701,0,"ch = 0.5",0.87,0.0336303434416005,0.94,0.0237486841740758
"3","-0.25","-0.09765625",-0.0920330558690686,0.0369815877114519,0,"ch = 1",0.78,0.041424630354416,0.9,0.03
"4","-0.25","-0.09765625",-0.0641683565794657,0.0218987500403037,1,"ch = 0.25",0.38,0.0485386443980464,0.58,0.0493558507170123
"5","-0.25","-0.09765625",-0.0625204279130486,0.0149808581728905,1,"ch = 0.5",0.19,0.0392300904918661,0.36,0.048
"6","-0.25","-0.09765625",-0.0539207867505254,0.00989115197533519,1,"ch = 1",0.05,0.0217944947177034,0.1,0.03
"7","0","0",0.00937704504852956,0.0344109844044878,0,"ch = 0.25",0.73,0.0443959457608462,0.94,0.0237486841740758
"8","0","0",0.0148398495351702,0.0282422885106018,0,"ch = 0.5",0.79,0.0407308237088326,0.96,0.0195959179422654
"9","0","0",0.0533253060195778,0.0435942786652192,0,"ch = 1",0.52,0.0499599839871872,0.83,0.0375632799419859
"10","0","0",0.00457651294880298,0.00932844603963432,1,"ch = 0.25",0.5,0.05,0.71,0.0453762052181537
"11","0","0",0.00985670486197749,0.00932699538010983,1,"ch = 0.5",0.41,0.0491833305094318,0.69,0.0462493243193887
"12","0","0",0.02345988487651,0.0105967714476156,1,"ch = 1",0.22,0.041424630354416,0.43,0.0495075751779463
"13","0.25","0.31640625",0.602592509605573,0.36497444756751,0,"ch = 0.25",0.91,0.0286181760425084,0.96,0.0195959179422654
"14","0.25","0.31640625",0.60219362357429,0.296087193620455,0,"ch = 0.5",0.81,0.0392300904918661,0.96,0.0195959179422654
"15","0.25","0.31640625",0.529357948960044,0.213907760369749,0,"ch = 1",0.76,0.0427083130081252,0.97,0.017058722109232
"16","0.25","0.31640625",0.226576058620456,0.0724860624158368,1,"ch = 0.25",0.51,0.0499899989998,0.69,0.0462493243193887
"17","0.25","0.31640625",0.221784790070613,0.04838848489599,1,"ch = 0.5",0.29,0.0453762052181537,0.49,0.0499899989998
"18","0.25","0.31640625",0.206984977605924,0.0316432837371224,1,"ch = 1",0.09,0.0286181760425084,0.14,0.0346987031457949
