"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.114925427323553,0.0754055528865582,0,"ch = 0.25",0.88,0.0324961536185438,0.96,0.0195959179422654
"2","-0.25","-0.09765625",-0.110201731090426,0.0566734071114263,0,"ch = 0.5",0.82,0.0384187454245971,0.97,0.017058722109232
"3","-0.25","-0.09765625",-0.0902938577721068,0.0420999918433672,0,"ch = 1",0.83,0.0375632799419859,0.93,0.0255147016443461
"4","-0.25","-0.09765625",-0.0715572813415859,0.0222247557803956,1,"ch = 0.25",0.48,0.0499599839871872,0.71,0.0453762052181537
"5","-0.25","-0.09765625",-0.0687589186707036,0.0146722460890922,1,"ch = 0.5",0.32,0.0466476151587624,0.51,0.0499899989998
"6","-0.25","-0.09765625",-0.0568082530368073,0.00938662582517983,1,"ch = 1",0.07,0.0255147016443462,0.13,0.0336303434416005
"7","0","0",-0.0022709397867461,0.0463335502822753,0,"ch = 0.25",0.76,0.0427083130081252,0.99,0.0099498743710662
"8","0","0",0.00422044881614053,0.0370827928165872,0,"ch = 0.5",0.81,0.0392300904918661,0.99,0.0099498743710662
"9","0","0",0.03645019514665,0.0394533301402472,0,"ch = 1",0.57,0.0495075751779463,0.88,0.0324961536185438
"10","0","0",0.00650494253121032,0.0116017662486736,1,"ch = 0.25",0.5,0.05,0.73,0.0443959457608462
"11","0","0",0.0107233567446692,0.010015735750993,1,"ch = 0.5",0.29,0.0453762052181537,0.59,0.0491833305094318
"12","0","0",0.0268567425748624,0.0110721557176499,1,"ch = 1",0.25,0.0433012701892219,0.35,0.0476969600708473
"13","0.25","0.31640625",0.518842356216057,0.315876534080868,0,"ch = 0.25",0.95,0.0217944947177034,0.98,0.014
"14","0.25","0.31640625",0.528317625161825,0.276680304632074,0,"ch = 0.5",0.91,0.0286181760425084,0.99,0.0099498743710662
"15","0.25","0.31640625",0.38496346040665,0.149954017105119,0,"ch = 1",0.91,0.0286181760425084,1,0
"16","0.25","0.31640625",0.272250748917582,0.0890770692375053,1,"ch = 0.25",0.9,0.03,0.96,0.0195959179422654
"17","0.25","0.31640625",0.267292916947565,0.0603947202121013,1,"ch = 0.5",0.75,0.0433012701892219,0.9,0.03
"18","0.25","0.31640625",0.260390857186134,0.0411289612302239,1,"ch = 1",0.47,0.0499099188538711,0.74,0.0438634243989226
